Contains Your Team	 Date	 Match #	 Match Type	 Team Number	 Spectating Team	 Starting Position	 SP-Autonomous	 SP-Off Platform	 SP-Cross Line	 SP-RocketHatchLow	 SP-RocketHatchMid	 SP-RocketHatchHigh	 SP-RocketHatchDropped	 SP-RocketCargoLow	 SP-RocketCargoMid	 SP-RocketCargoHigh	 SP-RocketCargoDropped	 SP-CargoShipHatches	 SP-CargoShipCargo	 CP-Defense	 CP-RocketHatchLow	 CP-RocketHatchMid	 CP-RocketHatchHigh	 CP-RocketHatchDropped	 CP-HatchFromLoadingZone	 CP-RocketCargoLow	 CP-RocketCargoMid	 CP-RocketCargoHigh	 CP-RocketCargoDropped	 CP-CargoFromLoadingZone	 CP-CargoShipHatches	 CP-CargoShipCargo	 EG-Ending Location	 EG-Climbing Help	 Penalties	 Yellow Card	 Red Card	 Red Score	 Blue Score	 Robot Dead Time	 Sandstorm Notes	 Clear Skies Notes		
	2019/03/23 10:27:29	6	Practice	4089	Blue	Low	false	false	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	2	0	0	0	false	0	5	Middle	0	false	false	false	106	76	0		elevator is a bit on the turtle side		
	2019/03/23 14:47:24	18	Practice	2918	Blue	High	true	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	0	false	0	0	0	0	false	6	6	High	0	false	false	false	45	79	0		excellent robot		
	2019/03/23 14:47:03	19	Practice	963	Red	High	true	false	true	0	0	0	0	0	0	0	0	1	1	false	2	2	0	0	false	2	2	0	0	false	0	0	High	0	false	false	false	60	65	0				
	2019/03/23 14:52:49	20	Practice	1258	Red	High	true	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	false	0	0	0	0	false	2	2	No Climb	0	false	false	false	62	64	0				
	2019/03/23 15:00:03	21	Practice	1983	Red	High	true	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	3	3	No Climb	0	false	false	false	39	62	0				
	2019/03/23 11:16:34	1	Qualification	7461	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	1	false	0	0	0	1	false	1	0	Low	0	false	false	false	36	44	0		moved very slowly and staggered a lot 		
	2019/03/23 11:24:32	2	Qualification	1899	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	0	false	0	0	0	1	false	0	3	Low	0	false	false	false	51	78	0				
	2019/03/23 11:31:54	3	Qualification	4180	Blue	Low	false	true	true	1	0	0	0	0	0	0	0	0	0	false	1	0	0	0	false	0	0	0	0	false	1	0	Low	0	false	false	false	79	43	0				
	2019/03/23 11:39:54	4	Qualification	2412	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	1	false	0	0	0	0	false	0	0	0	1	false	0	2	Low	0	true	false	false	37	32	0				
	2019/03/23 11:47:13	5	Qualification	5803	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	1	0	0	false	0	0	0	0	false	2	4	High	0	false	false	false	113	60	0		very fast and got both a lot of hatches and cargo!!   		
	2019/03/23 11:56:21	6	Qualification	4450	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	0	false	0	0	0	1	false	0	4	Low	0	false	false	false	58	46	0				
	2019/03/23 12:02:56	7	Qualification	2930	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	false	1	0	0	0	false	3	3	Low	0	false	false	false	85	62	0				
	2019/03/23 12:11:31	8	Qualification	1258	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	1	0	Low	0	false	false	false	75	27	0				
	2019/03/23 12:18:31	9	Qualification	3681	Blue	Low	true	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	1	Low	0	false	false	false	38	32	0		"Looks like their robot had some issues, really not a good round for them"		
	2019/03/23 12:25:45	10	Qualification	4911	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	1	0	0	true	1	0	0	0	true	1	2	Low	0	false	false	false	53	79	0		"efficient robot, good piloting"		
	2019/03/23 12:33:04	11	Qualification	2976	Blue	Low	false	true	true	1	0	0	0	0	0	0	0	0	0	false	3	0	0	1	true	0	0	0	1	true	1	0	Low	0	false	false	false	48	67	0				
	2019/03/23 12:39:12	12	Qualification	1294	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Middle	0	false	false	false	34	49	0				
	2019/03/23 12:49:51	13	Qualification	5588	Blue	Low	false	true	true	0	0	0	1	0	0	0	0	0	0	false	2	2	0	0	false	0	0	0	0	false	1	0	No Climb	0	false	false	false	52	69	0				
	2019/03/23 12:57:21	14	Qualification	1899	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	3	true	0	0	0	1	false	0	0	Low	0	false	false	false	62	28	0		their hatch holder was pretty seriously bad at its job		
	2019/03/23 14:13:14	16	Qualification	5803	Blue	Middle	false	true	true	1	0	0	0	0	0	0	0	0	0	false	1	2	0	0	true	2	0	0	0	true	0	1	High	0	false	false	false	44	65	0				
	2019/03/23 14:20:35	17	Qualification	4309	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	false	0	0	0	0	true	5	0	No Climb	0	false	false	false	65	49	0		"very effective hatch mechanism
"		
