a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc3218,frc4911,42.75500000000002,17,25,6
frc492,frc2522,frc2910,42.709833333333286,17,23,1
frc492,frc1425,frc2910,42.709416666666726,17,31,1
frc492,frc1540,frc2928,42.68378333333333,17,30,40
frc492,frc2910,frc4513,42.67491666666663,17,1,37
frc492,frc3218,frc4131,42.65608333333332,17,25,33
frc492,frc2147,frc2930,42.650883333333354,17,4,7
frc492,frc2147,frc2522,42.64918333333328,17,4,23
frc492,frc1540,frc6350,42.63766666666674,17,30,20
frc492,frc2928,frc2930,42.62731666666666,17,40,7
frc492,frc7034,frc997,42.62575000000001,17,19,8
frc492,frc2147,frc2635,42.617583333333314,17,4,46
frc492,frc2046,frc6831,42.6135,17,11,35
frc492,frc2976,frc5920,42.61208333333343,17,2,43
frc492,frc3711,frc955,42.60679999999999,17,21,10
frc492,frc1595,frc6831,42.60666666666669,17,5,35
frc492,frc2811,frc3218,42.60058333333339,17,15,25
frc492,frc1359,frc2147,42.59106666666663,17,41,4
frc492,frc2046,frc360,42.589666666666716,17,11,26
frc492,frc2990,frc7461,42.58446666666666,17,28,27
frc492,frc2930,frc3218,42.53463333333344,17,7,25
frc492,frc2930,frc4512,42.53191666666666,17,7,13
frc492,frc2990,frc997,42.51984999999996,17,28,8
frc492,frc2928,frc360,42.505833333333364,17,40,26
frc492,frc2910,frc3636,42.50566666666664,17,1,32
frc492,frc2928,frc3218,42.495783333333385,17,40,25
frc492,frc2930,frc7461,42.48341666666657,17,7,27
frc492,frc4131,frc568,42.46591666666665,17,33,47
frc492,frc3711,frc4512,42.46541666666668,17,21,13
frc492,frc6350,frc957,42.46321666666665,17,20,14
frc492,frc2930,frc6350,42.44828333333331,17,7,20
frc492,frc3674,frc3711,42.44716666666664,17,12,21
frc492,frc4089,frc4131,42.44475000000002,17,22,33
frc492,frc2147,frc4512,42.44163333333337,17,4,13
frc492,frc3711,frc4089,42.42183333333339,17,21,22
frc492,frc2046,frc2976,42.41575000000002,17,11,2
frc492,frc1595,frc2930,42.400100000000045,17,5,7
frc492,frc2928,frc4911,42.394333333333414,17,40,6
frc492,frc2928,frc3663,42.3935166666667,17,40,24
frc492,frc3663,frc3711,42.36686666666668,17,24,21
frc492,frc4512,frc997,42.36649999999996,17,13,8
frc492,frc2046,frc4089,42.363000000000014,17,11,22
frc492,frc2976,frc997,42.36108333333336,17,2,8
frc492,frc2147,frc4911,42.34266666666669,17,4,6
frc492,frc2147,frc957,42.33138333333331,17,4,14
frc492,frc2910,frc6831,42.31283333333339,17,1,35
frc492,frc1595,frc2928,42.29806666666668,17,5,40
frc492,frc3663,frc6350,42.29058333333332,17,24,20
frc492,frc2910,frc8532,42.2900833333334,17,1,50
frc492,frc2635,frc2910,42.28508333333331,17,46,1
frc492,frc488,frc957,42.27588333333336,17,34,14
frc492,frc2046,frc2522,42.26391666666669,17,11,23
frc492,frc2910,frc4488,42.26373333333342,17,1,9
frc492,frc2412,frc2976,42.255916666666664,17,45,2
frc492,frc1425,frc2976,42.2475833333333,17,31,2
frc492,frc2928,frc4512,42.234750000000055,17,40,13
frc492,frc2976,frc4131,42.21783333333333,17,2,33
frc492,frc4131,frc955,42.1918166666667,17,33,10
frc492,frc2910,frc2976,42.191000000000024,17,1,2
frc492,frc1294,frc2910,42.18841666666668,17,39,1
frc492,frc1595,frc957,42.18683333333331,17,5,14
frc492,frc2147,frc2976,42.16966666666667,17,4,2
frc492,frc2412,frc4131,42.16699999999996,17,45,33
frc492,frc3218,frc360,42.16383333333334,17,25,26
frc492,frc2471,frc2976,42.15066666666669,17,3,2
frc492,frc2147,frc360,42.14928333333331,17,4,26
frc492,frc2976,frc488,42.1449166666666,17,2,34
frc492,frc3218,frc957,42.139466666666635,17,25,14
frc492,frc6350,frc997,42.13368333333332,17,20,8
frc492,frc6350,frc6831,42.130916666666664,17,20,35
frc492,frc4512,frc4911,42.113000000000014,17,13,6
frc492,frc2990,frc488,42.10831666666666,17,28,34
frc492,frc2930,frc3663,42.09621666666671,17,7,24
frc492,frc2910,frc5827,42.09456666666666,17,1,29
frc492,frc4911,frc7461,42.07491666666667,17,6,27
frc492,frc2046,frc997,42.069666666666706,17,11,8
frc492,frc360,frc4131,42.06774999999999,17,26,33
frc492,frc3636,frc997,42.066249999999975,17,32,8
frc492,frc6831,frc997,42.04958333333332,17,35,8
frc492,frc2976,frc4488,42.049333333333315,17,2,9
frc492,frc4089,frc4488,42.04675000000005,17,22,9
frc492,frc2046,frc955,42.04048333333333,17,11,10
frc492,frc488,frc7461,42.015250000000016,17,34,27
frc492,frc2910,frc8248,42.00950000000005,17,1,49
frc492,frc2910,frc4043,41.9710833333334,17,1,48
frc492,frc1540,frc955,41.97089999999999,17,30,10
frc492,frc2046,frc4911,41.95591666666667,17,11,6
frc492,frc4089,frc997,41.95349999999997,17,22,8
frc492,frc4512,frc488,41.94033333333335,17,13,34
frc492,frc2910,frc568,41.91325000000002,17,1,47
frc492,frc3663,frc4131,41.911049999999996,17,24,33
frc492,frc2928,frc3674,41.899333333333324,17,40,12
frc492,frc2147,frc955,41.896416666666624,17,4,10
frc492,frc4911,frc997,41.89158333333341,17,6,8
frc492,frc2046,frc3663,41.88141666666671,17,11,24
frc492,frc2521,frc6350,41.87396666666663,17,16,20
frc492,frc2521,frc2976,41.86841666666675,17,16,2
frc492,frc7461,frc957,41.862099999999955,17,27,14
frc492,frc2928,frc6350,41.85631666666667,17,40,20
frc492,frc2635,frc997,41.85308333333333,17,46,8
frc492,frc1595,frc2976,41.83325000000003,17,5,2
frc492,frc2521,frc3218,41.83226666666669,17,16,25
frc492,frc2990,frc3663,41.82554999999997,17,28,24
frc492,frc2990,frc4131,41.824650000000034,17,28,33
frc492,frc2046,frc488,41.820300000000046,17,11,34
frc492,frc2910,frc3674,41.814583333333374,17,1,12
frc492,frc2990,frc955,41.80781666666669,17,28,10
frc492,frc2471,frc997,41.800333333333356,17,3,8
frc492,frc1899,frc2046,41.781333333333386,17,36,11
frc492,frc2928,frc3711,41.768816666666694,17,40,21
frc492,frc2147,frc3663,41.76648333333332,17,4,24
frc492,frc3218,frc4089,41.74891666666665,17,25,22
frc492,frc3636,frc4131,41.735883333333355,17,32,33
frc492,frc2976,frc2990,41.73341666666669,17,2,28
frc492,frc2930,frc2976,41.725833333333355,17,7,2
frc492,frc4089,frc7461,41.72024999999996,17,22,27
frc492,frc2412,frc997,41.71808333333342,17,45,8
frc492,frc1540,frc7461,41.70689999999999,17,30,27
frc492,frc360,frc3711,41.7035666666667,17,26,21
frc492,frc1595,frc1899,41.70105000000007,17,5,36
frc492,frc2521,frc997,41.69043333333332,17,16,8
frc492,frc1540,frc2930,41.67980000000006,17,30,7
frc492,frc2046,frc2471,41.676416666666675,17,11,3
frc492,frc1540,frc1595,41.65685000000009,17,30,5
frc492,frc2928,frc957,41.650766666666655,17,40,14
frc492,frc1540,frc7034,41.6408333333334,17,30,19
frc492,frc3711,frc997,41.64021666666674,17,21,8
frc492,frc1899,frc2976,41.63091666666667,17,36,2
frc492,frc1595,frc4911,41.62475000000008,17,5,6
frc492,frc1899,frc997,41.61895000000012,17,36,8
frc492,frc3711,frc4488,41.6153333333333,17,21,9
