a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc2811,frc7034,71.51208333333338,17,15,19
frc492,frc4089,frc5827,71.32174999999998,17,22,29
frc492,frc2046,frc6350,71.29502380952391,17,11,20
frc492,frc3663,frc4911,71.18408333333332,17,24,6
frc492,frc1595,frc2046,71.16666666666671,17,5,11
frc492,frc2147,frc4911,71.11350000000004,17,4,6
frc492,frc2990,frc360,71.08258095238102,17,28,26
frc492,frc2930,frc2990,71.0363404761905,17,7,28
frc492,frc2910,frc6831,70.96899999999998,17,1,35
frc492,frc2471,frc2557,70.94391666666662,17,3,18
frc492,frc2046,frc4915,70.90008333333343,17,11,42
frc492,frc1595,frc7034,70.85791666666668,17,5,19
frc492,frc1425,frc4089,70.69311666666667,17,31,22
frc492,frc4911,frc5827,70.68806666666681,17,6,29
frc492,frc360,frc955,70.64691666666671,17,26,10
frc492,frc2930,frc7034,70.61201666666646,17,7,19
frc492,frc2046,frc4125,70.509,17,11,38
frc492,frc3218,frc4911,70.5033690476191,17,25,6
frc492,frc4488,frc955,70.4568333333334,17,9,10
frc492,frc4488,frc4512,70.4325,17,9,13
frc492,frc1899,frc4911,70.34733333333338,17,36,6
frc492,frc360,frc4089,70.31253333333338,17,26,22
frc492,frc2147,frc4488,70.30291666666669,17,4,9
frc492,frc1359,frc2910,70.27706666666658,17,41,1
frc492,frc2521,frc4089,70.19165000000007,17,16,22
frc492,frc1595,frc4089,70.18133333333326,17,5,22
frc492,frc1425,frc7034,70.12866666666666,17,31,19
frc492,frc3636,frc7461,70.02675,17,32,27
frc492,frc2046,frc3786,69.9865833333333,17,11,44
frc492,frc2557,frc7034,69.97616666666657,17,18,19
frc492,frc1595,frc4911,69.96150000000009,17,5,6
frc492,frc2990,frc3636,69.9509404761906,17,28,32
frc492,frc4488,frc7461,69.90528333333337,17,9,27
frc492,frc3636,frc7034,69.90292857142856,17,32,19
frc492,frc2046,frc6831,69.88766666666665,17,11,35
