Contains Your Team	 Date	 Match #	 Match Type	 Team Number	 Spectating Team	 Starting Position	 SP-Autonomous	 SP-Off Platform	 SP-Cross Line	 SP-RocketHatchLow	 SP-RocketHatchMid	 SP-RocketHatchHigh	 SP-RocketHatchDropped	 SP-RocketCargoLow	 SP-RocketCargoMid	 SP-RocketCargoHigh	 SP-RocketCargoDropped	 SP-CargoShipHatches	 SP-CargoShipCargo	 CP-Defense	 CP-RocketHatchLow	 CP-RocketHatchMid	 CP-RocketHatchHigh	 CP-RocketHatchDropped	 CP-HatchFromLoadingZone	 CP-RocketCargoLow	 CP-RocketCargoMid	 CP-RocketCargoHigh	 CP-RocketCargoDropped	 CP-CargoFromLoadingZone	 CP-CargoShipHatches	 CP-CargoShipCargo	 EG-Ending Location	 EG-Climbing Help	 Penalties	 Yellow Card	 Red Card	 Red Score	 Blue Score	 Robot Dead Time	 Sandstorm Notes	 Clear Skies Notes
	2019/03/30 16:01:54	26	Qualification	4461	Blue	Low	false	true	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	43	37	17.858		very slow can't drive straight
	2019/03/30 16:08:15	27	Qualification	5937	Blue	Low	false	true	false	0	0	0	0	0	0	0	0	1	0	false	0	0	0	0	true	1	0	0	0	false	0	1	No Climb	0	false	false	false	36	79	0		
	2019/03/30 16:16:25	28	Qualification	1318	Blue	Low	false	true	true	1	0	0	0	0	0	0	0	0	0	false	0	0	1	1	true	0	0	0	0	true	0	2	No Climb	0	false	false	false	36	89	0		
	2019/03/30 16:22:14	29	Qualification	7118	Blue	High	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	true	0	0	0	1	false	1	3	Low	0	false	false	false	27	34	0		
	2019/03/30 16:28:49	30	Qualification	3070	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	82	59	0		"played defense, very effective in holding.off bare metal "
	2019/03/30 16:34:36	31	Qualification	2974	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	65	26	0		played defense 
	2019/03/30 16:41:51	32	Qualification	4911	Blue	Low	false	true	true	1	0	0	0	0	0	0	0	0	0	false	1	0	0	0	false	1	0	0	0	true	2	6	Low	0	false	false	false	30	62	0		
	2019/03/30 16:49:28	33	Qualification	2926	Blue	Middle	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	51	40	0		played defense but not very well
	2019/03/30 17:00:24	34	Qualification	3049	Blue	Low	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	true	1	0	Low	0	false	false	false	53	51	0		"not very reliable with hatches cuz couple hatches they put were loose 

tried to climb high but didn't "
	2019/03/30 17:54:13	35	Qualification	360	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	High	0	false	false	false	53	42	0		plAyed defense 
	2019/03/30 17:13:52	36	Qualification	3393	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	3	true	0	0	0	0	true	1	0	No Climb	0	false	false	false	41	27	0		
	2019/03/30 17:20:21	37	Qualification	4089	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	1	0	0	false	0	0	0	0	true	0	3	Low	0	false	false	false	52	62	0		"Almost moved to top, but back legs got stuck and would have caused them to fall if they did not stop trying to retract."
	2019/03/30 17:29:34	38	Qualification	3684	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	1	0	0	1	false	1	0	0	0	false	1	0	Low	0	false	false	false	48	52	0		Really wobbly because of height.
	2019/03/30 17:36:23	39	Qualification	2097	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	1	false	1	0	0	0	false	1	0	0	0	true	0	2	Low	0	false	false	false	52	84	0		
	2019/03/30 17:42:44	40	Qualification	3237	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	42	45	0		
	2019/03/30 17:47:39	41	Qualification	3393	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	29	67	87.765		
	2019/03/30 17:54:05	42	Qualification	2906	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	12	70	0		pieces of robot fell to the ground 
	2019/03/30 18:02:05	43	Qualification	2929	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	30	21	0		"also another ""Ramp Boy"" "
	2019/03/30 18:08:04	44	Qualification	2927	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	1	false	0	0	0	0	false	0	3	No Climb	0	false	false	false	76	36	0		couldn't deploy its hatch 
	2019/03/30 18:14:08	45	Qualification	3219	Blue	Low	false	false	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	74	14	0		didn't show?
	2019/03/30 18:21:13	46	Qualification	2990	Blue	Low	true	true	false	0	0	0	0	0	0	0	0	1	0	false	2	0	0	0	false	2	0	0	0	false	1	3	Low	0	false	false	false	45	59	0		fell when climbing
	2019/03/30 18:28:51	47	Qualification	3070	Blue	Middle	false	true	false	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	57	33	0		played defense on us :(
	2019/03/30 18:35:03	48	Qualification	4461	Blue	Low	false	false	false	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	32	15	0		"can't really drive (but not dead)
"
	2019/03/30 11:04:17	1	Qualification	3049	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	1	false	0	0	0	0	true	0	0	Low	0	false	false	false	68	49	0		
	2019/03/30 11:14:01	2	Qualification	2990	Red	Low	true	true	true	0	0	0	0	0	0	0	0	1	0	false	2	0	0	2	false	0	0	0	2	true	0	3	High	0	false	false	false	57	71	0		"fast climb, knocked a hatch off the rocket"
	2019/03/30 11:29:27	3	Qualification	2907	Red	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	1	true	0	0	0	0	false	1	2	Low	0	false	false	false	48	30	0		
	2019/03/30 11:40:16	4	Qualification	3219	Red	Middle	true	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	3	false	0	0	0	0	true	0	0	No Climb	0	false	false	false	43	33	0		yeeted into our robot while we were trying to climb... :'(
	2019/03/30 12:02:19	5	Qualification	3876	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	true	0	0	0	0	false	0	6	Low	0	false	false	false	53	34	0		
	2019/03/30 12:09:27	6	Qualification	6959	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	57	37	0		didn't defend aggressively enough
	2019/03/30 12:17:47	7	Qualification	4089	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	false	0	0	0	2	false	0	3	Low	0	false	false	false	45	75	0		fell over on high climb
	2019/03/30 12:23:13	8	Qualification	4579	Red	Middle	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	1	true	2	0	No Climb	0	false	false	false	42	34	0		"slow and imprecise driving, end effector is slow and inaccurate "
	2019/03/30 12:29:43	9	Qualification	2980	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	1	0	1	false	1	0	0	1	true	0	0	Low	0	false	false	false	74	39	0		
	2019/03/30 12:36:08	10	Qualification	3237	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	27	34	0		
	2019/03/30 13:11:29	11	Qualification	948	Red	Low	false	false	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	60	24	224.109		dead
	2019/03/30 14:04:29	12	Qualification	2097	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	1	0	0	2	false	0	0	0	0	true	0	3	Low	0	false	false	false	54	49	0		Could do better if gets hatch mechanism working right.
	2019/03/30 14:12:20	13	Qualification	6959	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	39	50	0		Tried to defend its team against the other defender.
	2019/03/30 14:24:18	14	Qualification	2980	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	0	false	0	0	0	1	false	0	3	Low	0	false	false	false	35	33	0		"Very good driving, little wobbly with elevator extended."
	2019/03/30 14:31:49	15	Qualification	6350	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	1	true	2	0	0	0	true	0	0	Low	0	false	false	false	58	50	0		"Strong team, did an entire lower level of rocket by themselves."
*	2019/03/30 14:38:24	16	Qualification	492	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	3	0	0	0	false	1	0	0	0	true	1	0	High	0	false	false	false	68	72	0	Delayed start.	Teammates got in way once.
	2019/03/30 14:45:37	17	Qualification	4911	Red	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	1	0	0	0	false	1	0	0	0	true	0	3	No Climb	0	false	false	false	49	84	0		Looking strong.
	2019/03/30 14:52:42	18	Qualification	3219	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	false	0	0	0	0	true	1	0	Low	0	false	false	false	63	45	0		
	2019/03/30 15:02:48	19	Qualification	5683	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	32	46	0		"Didn't do much except try to pester the other team, and got bodied a lot."
	2019/03/30 15:08:38	20	Qualification	2926	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	2	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	32	26	0		tried to get on low but slid off
	2019/03/30 15:19:52	21	Qualification	4579	Red	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	0	0	0	false	0	0	0	0	false	1	0	Low	0	false	false	false	76	27	0		
	2019/03/30 15:26:08	22	Qualification	3393	Red	Middle	false	true	true	0	0	0	0	0	0	0	1	0	0	false	1	0	0	0	false	0	0	0	0	false	2	0	Low	0	false	false	false	37	83	0		
	2019/03/30 15:35:40	23	Qualification	2990	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	3	false	0	0	0	1	false	1	0	High	0	false	false	false	51	66	0		mostly dropped when robot ran into them
	2019/03/30 15:47:39	24	Qualification	948	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	1	false	0	0	0	0	false	1	5	No Climb	0	false	false	false	44	85	0		couldn't climb; got stuck on cargo
	2019/03/30 15:55:14	25	Qualification	4918	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	1	0	No Climb	0	false	false	false	17	44	91.104		connection problems?
	2019/03/30 16:01:43	26	Qualification	7118	Red	Low	false	false	false	0	0	0	0	0	0	0	0	0	1	false	0	0	0	0	false	0	0	0	0	false	0	2	No Climb	0	false	false	false	43	37	0		"passive pick up for cargo, only from station though"
*	2019/03/30 16:15:55	28	Qualification	492	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	1	0	0	1	false	0	0	0	0	false	0	0	High	0	false	false	false	36	89	0		
	2019/03/30 16:22:54	29	Qualification	3049	Red	Low	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	true	3	0	Low	0	false	false	false	27	34	0		Very sketchy climbing mechanism
	2019/03/30 16:28:21	30	Qualification	2046	Red	High	false	true	true	1	0	0	0	0	0	0	0	0	0	false	1	1	1	0	false	2	0	0	1	true	0	2	High	0	false	false	false	82	59	0		Easily the best team on the field. Very solidly built.
	2019/03/30 16:35:04	31	Qualification	2929	Red	Middle	false	false	false	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	65	26	0		"DANNY DEVITO BOT 
OH YEA BABY 
it did nothing but defend 
 "
	2019/03/30 17:02:00	32	Qualification	3684	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	3	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	30	62	3.611		"A DANNY DEVITO POTATO BOT
WENT CRAZY"
	2019/03/30 16:48:02	33	Qualification	4089	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	4	High	0	false	false	false	40	51	0		STEALTH MORE LIKE SEXYLTH 
	2019/03/30 17:00:21	34	Qualification	4918	Red	Low	false	false	true	0	0	0	0	0	0	0	0	1	0	false	1	0	0	0	false	0	0	0	0	true	2	0	High	0	false	false	false	53	51	0		UMMMMMMMMMMMMMM 
	2019/03/30 17:06:29	35	Qualification	4911	Red	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	1	0	0	0	false	0	0	0	1	true	2	4	Low	0	false	false	false	53	42	0		
	2019/03/30 17:13:30	36	Qualification	2929	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	41	27	0		
	2019/03/30 17:19:59	37	Qualification	4579	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	0	0	0	true	2	0	0	0	true	0	1	Low	0	false	false	false	52	62	0		
	2019/03/30 17:26:53	38	Qualification	3574	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	1	1	0	0	false	0	0	0	0	true	0	0	High	0	false	false	false	48	52	0		
	2019/03/30 17:34:24	39	Qualification	2927	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	52	84	0		
	2019/03/30 17:42:06	40	Qualification	2926	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	true	3	0	Low	0	false	false	false	42	45	0		struggled with picking up hatches from the loading zone
	2019/03/30 17:47:13	41	Qualification	360	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	High	0	false	false	false	25	67	0		parked on low platform for the majority of the game
	2019/03/30 17:53:44	42	Qualification	2980	Red	Low	false	false	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	12	70	113.965		died three times
	2019/03/30 18:01:37	43	Qualification	5937	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	1	true	0	0	0	0	false	0	1	Middle	0	false	false	false	30	21	0		
	2019/03/30 18:08:01	44	Qualification	948	Red	Middle	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	5	Middle	0	false	false	false	76	36	0		
	2019/03/30 18:14:12	45	Qualification	1318	Red	Low	false	true	true	0	1	1	0	0	0	0	0	1	0	false	0	0	0	0	false	0	0	0	0	false	0	0	Middle	0	false	false	false	74	14	0		
	2019/03/30 18:21:16	46	Qualification	4461	Red	Low	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	45	59	54.473		took like a minute to get off the hab and couldn't get back on 
*	2019/03/30 18:29:03	47	Qualification	492	Red	Low	false	true	true	0	0	0	1	0	0	0	0	0	0	false	1	0	0	0	false	0	0	0	0	true	2	1	High	0	false	false	false	55	33	0		
	2019/03/30 18:34:56	48	Qualification	3684	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	3	Low	0	false	false	false	32	15	0		
	2019/03/30 11:03:46	1	Qualification	4089	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	3	Low	0	false	false	false	68	49	0		Tried to climb to level 2; misplaced a hatch (it fell off the rocket)
	2019/03/30 11:13:40	2	Qualification	3237	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	true	false	false	57	71	0		"defensive, not very effective though"
	2019/03/30 11:27:56	3	Qualification	3574	Red	Middle	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	2	false	0	0	0	0	false	0	1	High	0	false	false	false	48	30	0		had elevator troubles and started playing some defense
	2019/03/30 11:40:34	4	Qualification	3219	Red	Middle	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	2	false	0	0	0	0	false	0	0	Low	0	false	false	false	43	33	0		couldn't line up to place hatch; tried to hit ramp hard enough to get to level 2 but didn't make it
	2019/03/30 12:01:55	5	Qualification	4579	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	0	0	0	false	1	0	0	0	false	2	1	Low	0	false	false	false	53	34	0		
	2019/03/30 12:09:13	6	Qualification	6350	Red	Middle	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	2	0	0	1	false	0	0	Middle	0	false	false	false	57	37	0		cAnnot get hatches from loading zone well 
	2019/03/30 12:15:49	7	Qualification	3786	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	48	75	0	very jerky	played defense 
	2019/03/30 12:29:00	8	Qualification	2927	Red	Low	false	false	false	0	0	0	0	0	0	0	1	0	0	false	0	0	0	0	false	0	0	0	0	true	0	5	Low	0	false	false	false	42	34	0		I
	2019/03/30 12:29:24	9	Qualification	3684	Red	Middle	false	false	false	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	2	false	0	3	Low	0	false	false	false	74	39	0		
	2019/03/30 12:35:32	10	Qualification	2929	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	27	34	0		Didn't do much played a little defense
	2019/03/30 14:04:57	12	Qualification	5937	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	true	2	2	Middle	0	false	false	false	54	49	0		one of those rocking drivebases 
	2019/03/30 14:12:11	13	Qualification	2906	Red	Middle	false	true	true	0	0	0	0	0	0	0	1	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	39	50	0		should've played defense but didn't
	2019/03/30 14:31:11	14	Qualification	4918	Red	Low	false	false	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	true	false	false	35	33	133.245		
	2019/03/30 14:31:02	15	Qualification	2926	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	1	0	Low	0	false	false	false	58	50	0		
	2019/03/30 14:38:03	16	Qualification	948	Red	Middle	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	0	false	1	0	0	0	false	0	2	Low	0	false	false	false	68	72	0		
	2019/03/30 14:45:30	17	Qualification	3393	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	3	true	0	0	0	0	false	1	0	Low	0	true	false	false	49	84	0		
	2019/03/30 14:52:14	18	Qualification	948	Red	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	0	false	0	0	0	0	false	0	5	Low	0	false	false	false	63	45	0		
	2019/03/30 15:01:38	19	Qualification	3684	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	3	Low	0	false	false	false	32	46	0		
	2019/03/30 15:08:27	20	Qualification	3876	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	1	false	0	0	0	0	true	0	0	0	0	false	0	5	Low	0	false	false	false	32	26	0		
	2019/03/30 15:19:20	21	Qualification	4089	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	1	false	0	3	Middle	0	false	false	false	76	27	0		
	2019/03/30 15:25:04	22	Qualification	6503	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	37	83	0	dropped cargo they were holding	
	2019/03/30 15:35:11	23	Qualification	4461	Red	Low	false	true	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	51	66	27.051	dropped hatch	Didn't seem like it could move.died for a bit but then began to move but not far just back and forth
	2019/03/30 15:47:01	24	Qualification	2980	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	1	0	0	1	false	1	0	0	0	false	0	0	Low	0	false	false	false	44	85	0	dropped hatch	
	2019/03/30 15:54:16	25	Qualification	5683	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	1	0	Low	0	false	false	false	17	44	0		
